[10:15:47]  COMMAND	POST 	 "/wd/hub/session"
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-131/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-132/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-133/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-134/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-135/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-136/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-137/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-138/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-139/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-140/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-141/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-142/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-143/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-144/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-145/displayed"
[10:15:59]  DATA		{}
[10:15:59]  RESULT		true
[10:15:59]  RESULT		true
[10:15:59]  RESULT		true
[10:15:59]  RESULT		true
[10:15:59]  COMMAND	POST 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/elements"
